horizon,mae,rmse,mape
1,4.307913780212402,7.264472007751465,12499825664.0
2,5.017480373382568,8.777338981628418,14158682112.0
3,5.415196895599365,9.83860969543457,15827305472.0
4,5.800673484802246,10.749181747436523,17425129472.0
5,6.449024200439453,11.569181442260742,18940833792.0
6,6.66783332824707,12.334529876708984,20875798528.0
7,7.067661285400391,12.955562591552734,22032629760.0
8,7.7722249031066895,13.511924743652344,23107670016.0
9,8.100150108337402,14.045534133911133,24328986624.0
10,8.348420143127441,14.476170539855957,25454673920.0
11,8.633708000183105,14.883421897888184,27357128704.0
12,8.976471900939941,15.307302474975586,30033022976.0
