horizon,mae,rmse,mape
1,3.674586534500122,6.929825782775879,9740698624.0
2,4.172775745391846,8.415332794189453,11550738432.0
3,4.620392322540283,9.508633613586426,13190285312.0
4,5.026753902435303,10.409879684448242,14671958016.0
5,5.434107780456543,11.220550537109375,16188162048.0
6,5.871457576751709,11.925107955932617,18046693376.0
7,6.220897674560547,12.518556594848633,19362586624.0
8,6.594393253326416,13.049163818359375,20923781120.0
9,6.937679767608643,13.553933143615723,22634004480.0
10,7.267387390136719,13.949722290039062,23756644352.0
11,7.573483467102051,14.361872673034668,25280387072.0
12,7.90028190612793,14.721335411071777,26541694976.0
