horizon,mae,rmse,mape
1,2.5041775703430176,4.168522357940674,111011.1171875
2,2.3342719078063965,3.9737393856048584,111285.71875
3,2.340737819671631,4.128603935241699,111600.7578125
4,2.4072153568267822,4.3868865966796875,111966.7109375
5,2.503136157989502,4.6505608558654785,112068.8828125
6,2.6076552867889404,4.90614128112793,112121.0078125
7,2.7098240852355957,5.142667770385742,112159.9609375
8,2.8096461296081543,5.360157012939453,112147.4765625
9,2.9046974182128906,5.556210517883301,112133.640625
10,2.9967689514160156,5.735540866851807,112138.890625
11,3.0875208377838135,5.903016090393066,112165.953125
12,3.1811656951904297,6.065518856048584,112149.546875
