horizon,mae,rmse,mape
1,0.9547799229621887,1.7912225723266602,111583.2265625
2,1.3039597272872925,2.557738780975342,111783.25
3,1.6034362316131592,3.185267925262451,112470.5546875
4,1.8803874254226685,3.707897186279297,113194.296875
5,2.146469831466675,4.150776386260986,113790.671875
6,2.4116616249084473,4.5438690185546875,114050.796875
7,2.6781628131866455,4.909262180328369,114476.3515625
8,2.947944402694702,5.2598466873168945,114791.1953125
9,3.2224156856536865,5.607022285461426,115378.2734375
10,3.502664089202881,5.958946228027344,115810.21875
11,3.790914535522461,6.32161808013916,116183.6796875
12,4.089559078216553,6.703197956085205,116661.9296875
