horizon,mae,rmse,mape
1,1.1874600648880005,2.173031806945801,111547.59375
2,1.4330641031265259,2.75235915184021,111555.515625
3,1.6340464353561401,3.2411065101623535,111720.046875
4,1.7946012020111084,3.6432197093963623,111944.984375
5,1.9327936172485352,3.976475238800049,112024.7578125
6,2.053601026535034,4.256422519683838,111917.6875
7,2.1601667404174805,4.5003342628479,111971.1640625
8,2.2604873180389404,4.713265419006348,111986.5234375
9,2.3518693447113037,4.904629230499268,112074.9609375
10,2.4392409324645996,5.080927848815918,112078.5390625
11,2.522514820098877,5.246559143066406,112089.6875
12,2.6047561168670654,5.408629894256592,111984.65625
