horizon,mae,rmse,mape
1,1.0467780828475952,1.9814395904541016,111498.5625
2,1.3721275329589844,2.758347272872925,111389.90625
3,1.6280381679534912,3.3932666778564453,111625.78125
4,1.8465158939361572,3.922093629837036,111807.0078125
5,2.0419509410858154,4.367358207702637,111905.8984375
6,2.222125291824341,4.7497406005859375,111766.0390625
7,2.3892791271209717,5.085422515869141,111687.1953125
8,2.5470054149627686,5.393444538116455,111567.1171875
9,2.6957361698150635,5.670954704284668,111711.328125
10,2.839491367340088,5.929169654846191,111709.75
11,2.975464105606079,6.16928243637085,111719.5546875
12,3.1064963340759277,6.395314693450928,111616.6484375
