horizon,mae,rmse,mape
1,1.0166802406311035,1.8231300115585327,111935.375
2,1.2804450988769531,2.4367780685424805,111806.7109375
3,1.5019992589950562,2.980238676071167,112033.078125
4,1.6897833347320557,3.426720142364502,112158.984375
5,1.8502988815307617,3.789137840270996,112145.6640625
6,1.9898601770401,4.089958190917969,112128.0625
7,2.114309072494507,4.346245765686035,112141.3125
8,2.2298214435577393,4.5696282386779785,112174.0625
9,2.33805251121521,4.76745080947876,112098.953125
10,2.4358043670654297,4.946391582489014,112190.0390625
11,2.528609275817871,5.1109466552734375,112161.7890625
12,2.6136972904205322,5.265989780426025,112158.25
