horizon,mae,rmse,mape
1,1.041524052619934,1.8638652563095093,112307.09375
2,1.297049641609192,2.4942145347595215,112189.0390625
3,1.5060616731643677,3.0299596786499023,112463.5390625
4,1.6765216588974,3.459697723388672,112588.3515625
5,1.8213051557540894,3.8058691024780273,112646.2265625
6,1.9453245401382446,4.091558933258057,112592.671875
7,2.05883526802063,4.335362434387207,112568.1015625
8,2.162888288497925,4.546632289886475,112597.203125
9,2.2580528259277344,4.733636856079102,112610.328125
10,2.347280979156494,4.901636600494385,112648.4375
11,2.4299075603485107,5.056151866912842,112660.3046875
12,2.5129330158233643,5.205077648162842,112614.515625
