horizon,mae,rmse,mape
1,3.4870126247406006,7.055116176605225,5791162368.0
2,3.9222514629364014,8.461353302001953,7809476608.0
3,4.49810791015625,9.581832885742188,10567883776.0
4,4.936354637145996,10.51710319519043,11763446784.0
5,5.4063849449157715,11.3543062210083,13211620352.0
6,5.860207557678223,12.064469337463379,15161843712.0
7,6.336156845092773,12.651575088500977,17280094208.0
8,6.697787761688232,13.21553897857666,18351370240.0
9,7.052363872528076,13.689521789550781,19167719424.0
10,7.3479461669921875,14.113592147827148,20239935488.0
11,7.73515510559082,14.51040267944336,21335951360.0
12,8.059386253356934,14.871454238891602,22695720960.0
