horizon,mae,rmse,mape
1,3.7293548583984375,6.8757500648498535,9990980608.0
2,4.3541975021362305,8.409771919250488,12311573504.0
3,4.912428855895996,9.512109756469727,14262228992.0
4,5.496731758117676,10.47217082977295,16888712192.0
5,5.928846836090088,11.249200820922852,18193577984.0
6,6.420597076416016,11.95205307006836,20022036480.0
7,6.883610725402832,12.579017639160156,22030792704.0
8,7.173120021820068,13.124797821044922,23160616960.0
9,7.534243583679199,13.622384071350098,24611610624.0
10,7.841946601867676,14.018054962158203,24922404864.0
11,8.253302574157715,14.385200500488281,26087342080.0
12,8.661608695983887,14.746790885925293,27380242432.0
