horizon,mae,rmse,mape
1,3.7120862007141113,6.849861145019531,7439573504.0
2,4.582897663116455,8.542561531066895,9981228032.0
3,5.192954063415527,9.714458465576172,13609267200.0
4,5.832596302032471,10.65575885772705,14770041856.0
5,6.333859443664551,11.526053428649902,17847001088.0
6,6.973813056945801,12.329684257507324,20883286016.0
7,7.382876873016357,12.987096786499023,23167512576.0
8,7.779445171356201,13.614774703979492,25620074496.0
9,8.20585823059082,14.150930404663086,27114280960.0
10,8.563624382019043,14.552610397338867,27829272576.0
11,8.797161102294922,14.914161682128906,28543987712.0
12,9.254721641540527,15.333707809448242,31046662144.0
