horizon,mae,rmse,mape
1,3.4511733055114746,6.967700481414795,6119960576.0
2,3.9501068592071533,8.40847110748291,8164115968.0
3,4.5266432762146,9.530920028686523,10939627520.0
4,4.990808486938477,10.465922355651855,12149029888.0
5,5.462010383605957,11.298049926757812,13612984320.0
6,5.924192905426025,12.010271072387695,15572257792.0
7,6.405763149261475,12.608247756958008,17681037312.0
8,6.767455577850342,13.1666259765625,18780233728.0
9,7.136079788208008,13.64012622833252,19571027968.0
10,7.4190354347229,14.06810188293457,20671361024.0
11,7.806357383728027,14.463796615600586,21752711168.0
12,8.137168884277344,14.826508522033691,23137503232.0
