horizon,mae,rmse,mape
1,1.2276291847229004,2.022247552871704,111095.375
2,1.4722014665603638,2.644747495651245,111056.9609375
3,1.702481985092163,3.1923930644989014,111290.796875
4,1.8821619749069214,3.658287525177002,111464.359375
5,2.0357353687286377,4.061466693878174,111570.1015625
6,2.1766109466552734,4.391692638397217,111495.7734375
7,2.318715810775757,4.6851091384887695,111389.4296875
8,2.426852226257324,4.95182466506958,111450.4765625
9,2.550564765930176,5.203708648681641,111503.9921875
10,2.6733126640319824,5.435832500457764,111425.9140625
11,2.7681708335876465,5.654413223266602,111446.0078125
12,2.885270118713379,5.859375476837158,111392.7265625
