horizon,mae,rmse,mape
1,1.1062027215957642,1.9746525287628174,40163728.0
2,1.3533146381378174,2.598766326904297,40118760.0
3,1.5516903400421143,3.1253981590270996,40184096.0
4,1.7264628410339355,3.5869295597076416,40233752.0
5,1.877923607826233,3.971369743347168,40262836.0
6,2.0132064819335938,4.296450614929199,40246672.0
7,2.1373753547668457,4.585237979888916,40258448.0
8,2.258167028427124,4.851300239562988,40257420.0
9,2.369464874267578,5.092713356018066,40236844.0
10,2.4739367961883545,5.315134048461914,40258840.0
11,2.571964740753174,5.508852481842041,40216112.0
12,2.6674981117248535,5.704626560211182,40170676.0
