horizon,mae,rmse,mape
1,1.5028040409088135,2.8375954627990723,112111.5078125
2,1.8119828701019287,3.445995807647705,112269.8359375
3,2.03279972076416,3.958221197128296,112353.8671875
4,2.2537014484405518,4.431732654571533,112492.203125
5,2.4360063076019287,4.81645393371582,112690.46875
6,2.572046995162964,5.100313186645508,112343.0390625
7,2.7002007961273193,5.344149112701416,112116.28125
8,2.806767463684082,5.585878849029541,112588.3203125
9,2.9507639408111572,5.909180164337158,112731.015625
10,3.07906436920166,6.0940728187561035,112565.9765625
11,3.1774559020996094,6.260576248168945,112476.4140625
12,3.3442742824554443,6.55412483215332,112409.5703125
